Muscle Group,Exercise,Level
Abdominals - Lower,Full Reverse Crunch,Advanced
Abdominals - Lower,Incline Hip Thrust,Advanced
Abdominals - Lower,Incline Reverse Crunch,Advanced
Abdominals - Lower,Lying Hip Thrust,Advanced
Abdominals - Lower,Reverse Crunch,Beginner
Abdominals - Lower,Reverse Medicine Ball Crunch,Advanced
Abdominals - Obliques,Alternating Heel Touch,Beginner
Abdominals - Obliques,Bent-Knee Medicine Ball Hip Rotation,Advanced
Abdominals - Obliques,Cross Crunch,Beginner
Abdominals - Obliques,Cross Crunch w/ Medicine Ball,Advanced
Abdominals - Obliques,Decline Cross Sit-Up,Advanced
Abdominals - Obliques,Decline Sit-Up w/ Twist,Advanced
Abdominals - Obliques,Seated Medicine Ball Twist,Advanced
Abdominals - Obliques,Trunk Rotator,Advanced
Abdominals - Total,Front Plank (from knees),Beginner
Abdominals - Total,Front Plank (from toes),Intermediate
Abdominals - Total,Front Plank (tripod - 1 arm and 2 legs or 2 legs and 1 arm),Advanced
Abdominals - Total,Side-Plank (from knees),Intermediate
Abdominals - Total,Side-Plank (hip lift),Beginner
Abdominals - Total,Side-Plank (from toes),Advanced
Abdominals - Total,Ab Cycle,Advanced
Abdominals - Total,Kneeling Ab Rollout,Intermediate
Abdominals - Total,Medicine Ball V-Up,Advanced
Abdominals - Total,V-Up,Beginner
Abdominals - Total,Weighted V-Up,Intermediate
Abdominals - Upper,Bent Knee Sit-Up,Beginner
Abdominals - Upper,Bent-Knee Crunch,Beginner
Abdominals - Upper,Crunch,Beginner
Abdominals - Upper,Decline Crunch,Advanced
Abdominals - Upper,Decline Sit-Up,Advanced
Abdominals - Upper,Heel Touch,Beginner
Abdominals - Upper,Sit-Up,Beginner
Abdominals - Upper,Weighted Crunch,Intermediate
Back - Latissimus Dorsi,Assisted Pull-Up,Beginner
Back - Latissimus Dorsi,Close-Grip Lat Pulldown,Beginner
Back - Latissimus Dorsi,Inverted Pull-Up,Advanced
Back - Latissimus Dorsi,Lat Pulldown,Beginner
Back - Latissimus Dorsi,Pull-Up,Beginner
Back - Latissimus Dorsi,Reverse-Grip Lat Pullown,Intermediate
Back - Latissimus Dorsi,Reverse-Grip Pull-Up,Advanced
Back - Latissimus Dorsi,V-Bar Pull-Up,Advanced
Back - Latissimus Dorsi,Wide-Grip Lat Pulldown,Beginner
Back - Lat.Dorsi/Rhomboids,Bent-Over Alternating Dumbbell Row,Intermediate
Back - Lat.Dorsi/Rhomboids,Bent-Over Barbell Row,Beginner
Back - Lat.Dorsi/Rhomboids,Bent-Over Dumbbell Row,Beginner
Back - Lat.Dorsi/Rhomboids,Bent-Over Hammer Dumbbell Row,Beginner
Back - Lat.Dorsi/Rhomboids,Bent-Over Long Barbell Row,Intermediate
Back - Lat.Dorsi/Rhomboids,Bent-Over Reverse-Grip Barbell Row,Advanced
Back - Lat.Dorsi/Rhomboids,Bent-Over Single-Arm Long Barbell Row,Advanced
Back - Lat.Dorsi/Rhomboids,One Arm Dumbbell Row,Beginner
Back - Lat.Dorsi/Rhomboids,Reverse Incline Dumbbell Row,Advanced
Back - Lat.Dorsi/Rhomboids,Rope Cable Row,Intermediate
Back - Lat.Dorsi/Rhomboids,Seated Cable Row,Beginner
Back - Lat.Dorsi/Rhomboids,Seated Row,Beginner
Back - Lat.Dorsi/Rhomboids,Single-Arm Cable Row,Intermediate
Back - Lat.Dorsi/Rhomboids,Single-Arm Dumbbell Row,Beginner
Back - Lat.Dorsi/Rhomboids,Standing Cable Row,Beginner
Biceps,Alternating Dumbbell Curl,Beginner
Biceps,Alternating Hammer Curl,Beginner
Biceps,Barbell Curl,Beginner
Biceps,Bicep Curl,Beginner
Biceps,Bottom/Top/Full Curls,Advanced
Biceps,Concentration Dumbbell Curl,Intermediate
Biceps,Cross Body Hammer Curl,Advanced
Biceps,Dumbbell Curl,Beginner
Biceps,EZ-Bar Curl,Intermediate
Biceps,Hammer Curl,Beginner
Biceps,Incline Alternating Dumbbell Curl,Advanced
Biceps,Incline Alternating Hammer Curl,Advanced
Biceps,Incline Dumbbell Curl,Advanced
Biceps,Incline Hammer Curl,Advanced
Biceps,Kneeling Cable Curl,Beginner
Biceps,Lying Cable Curl,Intermediate
Biceps,Lying Double Biceps Cable Curl,Intermediate
Biceps,Lying High Cable Curl,Advanced
Biceps,Overhead Double Biceps Cable Curl,Advanced
Biceps,Overhead Rope Cable Curl,Advanced
Biceps,Seated Alternating Curl,Beginner
Biceps,Seated Alternating Hammer Curl,Beginner
Biceps,Seated Dumbbell Curl,Beginner
Biceps,Seated Hammer Curl,Beginner
Biceps,Single-Arm Barbell Curl,Beginner
Biceps,Single-Arm Cable Curl,Intermediate
Biceps,Single-Arm Dumbbell Curl w/ Incline Bench,Beginner
Biceps,Spider Curl,Advanced
Calves - Gastrocnemius,Barbell Calf Raise,Advanced
Calves - Gastrocnemius,Calf Press,Beginner
Calves - Gastrocnemius,Calf Raise - Seated,Beginner
Calves - Gastrocnemius,Calf Raise - Standing,Beginner
Calves - Gastrocnemius,Dumbbell Calf Raise,Beginner
Calves - Gastrocnemius,Single-Leg Calf Press,Advanced
Calves - Gastrocnemius,Single-Leg Dumbbell Calf Raise,Advanced
Calves - Gastrocnemius,Smith Machine Calf Raise,Intermediate
Calves - Soleus,Seated Calf Raise,Beginner
Calves - Soleus,Seated Single-Leg Calf Raise,Intermediate
Chest - Pectoralis,Alternating Dumbbell Bench Press,Intermediate
Chest - Pectoralis,Barbell Bench Press,Intermediate
Chest - Pectoralis,Chest Press,Beginner
Chest - Pectoralis,Decline Dumbbell Bench Press,Advanced
Chest - Pectoralis,Dumbbell Bench Press,Beginner
Chest - Pectoralis,Dumbbell Push-Up,Beginner
Chest - Pectoralis,Elevated Push-Up,Advanced
Chest - Pectoralis,Flat Bench Press,Intermediate
Chest - Pectoralis,Incline Alternating Dumbbell Bench Press,Advanced
Chest - Pectoralis,Incline Barbell Bench Press,Advanced
Chest - Pectoralis,Incline Bench Press,Advanced
Chest - Pectoralis,Incline Dumbbell Bench Press,Advanced
Chest - Pectoralis,Incline Hammer Dumbbell Bench Press,Advanced
Chest - Pectoralis,Incline Single-Arm Dumbbell Bench Press,Advanced
Chest - Pectoralis,Incline Twisting Dumbbell Bench Press,Advanced
Chest - Pectoralis,Kneeling Push-Up,Beginner
Chest - Pectoralis,Machine Bench Press,Beginner
Chest - Pectoralis,Machine Vertical Bench Press,Beginner
Chest - Pectoralis,Medicine Ball Crossover Push-Up,Advanced
Chest - Pectoralis,Push-Up,Beginner
Chest - Pectoralis,Single-Arm Dumbbell Bench Press,Intermediate
Chest - Pectoralis,Smith Machine Bench Press,Intermediate
Chest - Pectoralis,Twisting Dumbbell Bench Press,Beginner
Chest - Pectoralis,Wide-Grip Push-Up,Beginner
Chest - Pectoralis,Decline Dumbbell Fly,Advanced
Chest - Pectoralis,Dumbbell Fly,Beginner
Chest - Pectoralis,High Cable Crossover,Advanced
Chest - Pectoralis,Incline Cable Fly,Advanced
Chest - Pectoralis,Incline Dumbbell Fly,Advanced
Chest - Pectoralis,Incline Twisting Dumbbell Fly,Advanced
Chest - Pectoralis,Pec Deck,Beginner
Chest - Pectoralis,Pec Deck Fly,Beginner
Legs - Hamstrings,Bent-Knee Single-Leg Hip Lift,Advanced
Legs - Hamstrings,Elevated Hip Lift,Intermediate
Legs - Hamstrings,Elevated Single-Leg Hip Lift,Advanced
Legs - Hamstrings,Hip Lift,Beginner
Legs - Hamstrings,Single-Leg Hip Lift,Intermediate
Legs - Hamstrings,Deadlift,Advanced
Legs - Hamstrings,Leg Curl,Beginner
Legs - Hamstrings,Lying Alternating Leg Curl,Intermediate
Legs - Hamstrings,Lying Leg Curl,Beginner
Legs - Hamstrings,Lying Single-Leg Curl,Intermediate
Legs - Hamstrings,Seated Leg Curl,Beginner
Legs - Quadriceps,Barbell Diagonal Lunge,Advanced
Legs - Quadriceps,Barbell Hack Squat,Advanced
Legs - Quadriceps,Barbell Lunge,Intermediate
Legs - Quadriceps,Barbell Reverse Lunge,Intermediate
Legs - Quadriceps,Barbell Side Lunge,Intermediate
Legs - Quadriceps,Barbell Split Squat,Advanced
Legs - Quadriceps,Barbell Squat,Beginner
Legs - Quadriceps,Barbell Step-Up,Advanced
Legs - Quadriceps,Barbell Walking Lunge,Advanced
Legs - Quadriceps,Diagonal Lunge,Intermediate
Legs - Quadriceps,Dumbbell Diagonal Lunge,Advanced
Legs - Quadriceps,Dumbbell Lunge,Beginner
Legs - Quadriceps,Dumbbell Reverse Lunge,Intermediate
Legs - Quadriceps,Dumbbell Side Lunge,Intermediate
Legs - Quadriceps,Dumbbell Split Squat,Advanced
Legs - Quadriceps,Dumbbell Squat,Beginner
Legs - Quadriceps,Dumbbell Step-Up,Beginner
Legs - Quadriceps,Dumbbell Walking Lunge,Advanced
Legs - Quadriceps,Forward Lunge,Beginner
Legs - Quadriceps,Lateral Barbell Squat,Intermediate
Legs - Quadriceps,Lateral Barbell Step-Up,Advanced
Legs - Quadriceps,Lateral Squat,Beginner
Legs - Quadriceps,Lateral Step-Up,Beginner
Legs - Quadriceps,Leg Press,Beginner
Legs - Quadriceps,Lunge,Beginner
Legs - Quadriceps,Reverse Lunge,Beginner
Legs - Quadriceps,Single-Arm Barbell Side Squat,Advanced
Legs - Quadriceps,Single-Arm Dumbbell Side Squat,Intermediate
Legs - Quadriceps,Single-Leg Barbell Squat,Advanced
Legs - Quadriceps,Single-Leg Box Squat,Advanced
Legs - Quadriceps,Single-Leg Dumbbell Box Squat,Advanced
Legs - Quadriceps,Single-Leg Dumbbell Squat,Intermediate
Legs - Quadriceps,Single-Leg Squat,Intermediate
Legs - Quadriceps,Split Squat,Advanced
Legs - Quadriceps,Step-Up,Beginner
Legs - Quadriceps,Walking Lunge,Intermediate
Legs - Quadriceps,Alternating Leg Extension,Intermediate
Legs - Quadriceps,Leg Extension,Beginner
Legs - Quadriceps,Single-Leg Extension,Intermediate
Lower Back - Erector Spinae,Alternating Superman,Beginner
Lower Back - Erector Spinae,Back Raise,Beginner
Lower Back - Erector Spinae,Quadruped Alternating Superman,Beginner
Lower Back - Erector Spinae,Superman,Beginner
Lower Back - Erector Spinae,Superman Hold,Beginner
Shoulders - Delts/Traps,Arnold Dumbbell Press,Intermediate
Shoulders - Delts/Traps,Barbell Shoulder Press,Advanced
Shoulders - Delts/Traps,Dumbbell Alternating Shoulder Press,Beginner
Shoulders - Delts/Traps,Dumbbell Front Raise,Beginner
Shoulders - Delts/Traps,Dumbbell Shoulder Press,Intermediate
Shoulders - Delts/Traps,Dumbbell Twisting Shoulder Press,Intermediate
Shoulders - Delts/Traps,Seated Dumbbell Rear Delt Elbow Raise,Intermediate
Shoulders - Delts/Traps,Single-Arm Dumbbell Shoulder Press,Beginner
Shoulders - Delts/Traps,Smith Machine Shoulder Press,Advanced
Shoulders - Delts/Traps,Barbell Front Raise,Intermediate
Shoulders - Delts/Traps,Bent-Over Cable Rear Delt Raise,Advanced
Shoulders - Delts/Traps,Bent-Over Dumbbell Rear Delt Raise,Intermediate
Shoulders - Delts/Traps,Dumbbell Lateral Raise,Beginner
Shoulders - Delts/Traps,Front Plate Raise,Beginner
Shoulders - Delts/Traps,Kneeling Single-Arm Cable Rear Delt Raise,Advanced
Shoulders - Delts/Traps,Lying Dumbbell External Rotation,Beginner
Shoulders - Delts/Traps,Lying Dumbbell Rear Delt Raise,Beginner
Shoulders - Delts/Traps,Lying Single-Arm Dumbbell Rear Delt Raise,Beginner
Shoulders - Delts/Traps,Pec Deck Real Delt Extensions,Intermediate
Shoulders - Delts/Traps,Reverse Incline Dumbbell Rear Delt Raise,Advanced
Shoulders - Delts/Traps,Seated Dumbbell Rear Delt Raise,Beginner
Shoulders - Delts/Traps,Single-Arm Cable Lateral Raise,Intermediate
Shoulders - Rotator Cuff,Cable External Rotation,Beginner
Triceps,Close-Grip Bench Press,Advanced
Triceps,Forward Lean Dips,Intermediate
Triceps,Assisted Dips,Beginner
Triceps,Bench Dips,Intermediate
Triceps,Diamond Push-Up,Intermediate
Triceps,Dips,Intermediate
Triceps,Decline Dumbbell Triceps Extension,Advanced
Triceps,Decline EZ-Bar Tricep Extension,Advanced
Triceps,Decline Single Dumbbell Triceps Extension,Advanced
Triceps,Decline Single-Arm Dumbbell Triceps Extension,Advanced
Triceps,Dumbbell Kickback,Beginner
Triceps,Incline EZ-Bar Tricep Extension,Advanced
Triceps,Kneeling Cable Triceps Extension,Beginner
Triceps,Leaning Overhead Tricep Extension,Intermediate
Triceps,Low Cable Triceps Extension,Intermediate
Triceps,Lying Cable Triceps Extension,Intermediate
Triceps,Lying EZ-Bar Triceps Extension,Intermediate
Triceps,Lying Overhead EZ-Bar Tricep Extension,Intermediate
Triceps,Lying Reverse EZ-Bar Triceps Extension,Advanced
Triceps,Lying Single Dumbbell Triceps Extension,Beginner
Triceps,Lying Single-Arm Dumbbell Triceps Extension,Beginner
Triceps,Lying Tricep Extensions,Beginner
Triceps,Overhead Dumbbell Triceps Extension,Beginner
Triceps,Overhead EZ-Bar Triceps Extension,Advanced
